item_key,merchant,web_categories,l1,l2,l3,gender,primary_fop,sub_sport,gmv,apparel_rn,gender_rn,fop_rn
kohls_bottoms_nike_men's nike sportswear club fleece joggers,kohls,bottoms,Apparel,Bottoms,Fleece Bottoms,Men's,training,null,71244304,1,20,11
kohls_bottoms_levi's_men's levi's® 559™ relaxed straight fit jeans,kohls,bottoms,Apparel,Bottoms,Other Bottoms,Men's,sportswear,null,62784285,1,30,9
kohls_juniors_clothing_bottoms_pants_so_so_juniors' so® pull-on flare-leg pants,kohls,juniors > clothing > bottoms > pants > so,Apparel,Bottoms,Pants,Women's,softball,null,167885696,1,5,2
kohls_mens_clothing_bottoms_shorts_sonoma goods for life_sonoma goods for life_men's sonoma goods for life® 10-inch flexwear ripstop cargo shorts,kohls,mens > clothing > bottoms > shorts > sonoma goods for life,Apparel,Bottoms,Shorts,Men's,hiking,null,90867540,1,11,3
kohls_womens_clothing_bottoms_skirts & skorts_nine west_nine west_women's nine west knit sweater skirt,kohls,womens > clothing > bottoms > skirts & skorts > nine west,Apparel,Bottoms,Skirts,Women's,cheer_dance,null,42838004,1,45,7
kohls_womens_clothing_bottoms_jeans_gloria vanderbilt_gloria vanderbilt_women's gloria vanderbilt amanda classic jeans,kohls,womens > clothing > bottoms > jeans > gloria vanderbilt,Apparel,Bottoms,Tights,Women's,cheer_dance,null,579143156,1,1,1
kohls_underwear_bali_bali comfort revolution shaping wireless bra df3488,kohls,underwear,Apparel,Bras,null,Women's,sportswear,null,85809870,1,10,2
kohls_womens_clothing_dresses_nine west_nine west_women's nine west knot-back long sleeve dress,kohls,womens > clothing > dresses > nine west,Apparel,Dresses,null,Women's,sportswear,null,63554594,1,19,8
kohls_suits_haggar_men's haggar® travel performance tailored-fit stretch suit jacket,kohls,suits,Apparel,Jackets & Outerwear,null,Men's,basketball,null,139290526,1,6,4
kohls_mens_clothing_tops_tops & tees_nike_nike_men's nike sportswear club fleece pullover hoodie,kohls,mens > clothing > tops > tops & tees > nike,Apparel,Tops,null,Men's,basketball,null,442153376,1,1,1
kohls_boys_girls_active_apparel_nike_kids 7-20 nike tracksuit set,kohls,boys > girls > active > apparel,Apparel,Track Suits,null,Men's,training,null,3505158,1,1241,725
kohls_socks_hosiery_nike_men's nike 6-pack everyday plus cushion crew training socks,kohls,socks > hosiery,Apparel,Underwear,null,Men's,training,null,63511715,1,29,18
kohls_shoes_nike_nike air monarch iv men's cross-training shoes,kohls,shoes,Footwear,null,null,Men's,tennis,cross_training,65969737,1,25,1
"lululemon_women's clothes_pants_leggings_lululemon_fast and free tight ii 25"" *nulux, black",lululemon,women's clothes > pants > leggings,Apparel,Bottoms,Baselayer Bottoms,Women's,tennis,null,81709291,1,15,3
"lululemon_women's clothes_pants_sweatpants_lululemon_adapted state high-rise jogger *full length, black",lululemon,women's clothes > pants > sweatpants,Apparel,Bottoms,Fleece Bottoms,Women's,training,null,26218385,1,81,52
lululemon_men's clothes_pants_joggers_lululemon_at ease jogger,lululemon,men's clothes > pants > joggers,Apparel,Bottoms,Other Bottoms,Men's,training,null,32651892,1,12,39
"lululemon_women's clothes_pants_leggings_lululemon_lululemon align™ high-rise pant 25"", black",lululemon,women's clothes > pants > leggings,Apparel,Bottoms,Pants,Women's,training,null,408772786,1,1,1
"lululemon_women's clothes_shorts_lululemon_hotty hot low-rise lined short 2.5"", black",lululemon,women's clothes > shorts,Apparel,Bottoms,Shorts,Women's,training,null,90927069,1,11,7
"lululemon_women's clothes_skirts_lululemon_pace rival mid-rise skirt *long, black",lululemon,women's clothes > skirts,Apparel,Bottoms,Skirts,Women's,field_hockey,null,41498715,1,40,1
"lululemon_women's clothes_pants_lululemon_wunder train high-rise tight 25"", black",lululemon,women's clothes > pants,Apparel,Bottoms,Tights,Women's,training,null,149978335,1,5,3
"lululemon_women's clothes_sports bras_lululemon_flow y bra nulu *light support, a–c cups, black",lululemon,women's clothes > sports bras,Apparel,Bras,null,Women's,cheer_dance,null,22564134,1,98,4
